,titles,replies,views,category
0,"New Help Section for New Creators (and those looking for a refresher)
467,"I’ve been very anxious about my comic, and would like some help",75,132,Art|Comics
468,POST FUN EXCHANGES between any TWO Characters from your COMIC,28,545,Art|Comics
469,Post Your Self Insert Character,274,122,Art|Comics
470,Do you redraw old pages?,6,238,Art|Comics
471,How to make the beginning of my comic more effective?,133,132,Art|Comics
472,BL & yaoi comics,3,18.0k,Art|Comics
473,Trying to Make a Fresh Start,77,103,Art|Comics
474,What do artist need in a platform?,30,110,Art|Comics
475,Which Comic Format Works Best for My Ideas?,608,82,Art|Comics
476,"Show us a page from your first chapter, and one from your latest",0,132,Art|Comics
477,Your latest work of art?,47,442,Art|Comics
478,ONESHOT Manga project! Writer and Storyboard-er looking for Manga artist,136,905,Art|Comics
479,Share your Author Avatar!,1.9k,246,Art|Comics
480,Your artistic voice,1,260,Art|Comics
481,OC as a Character in My Hero Academia | MHA Fanart,118,82,Art|Comics
482,How the freemium aspect of Webtoons (Naver) affects small indie artists/authors,9,430,Art|Comics
483,Buffers– Do you have one for your comic/novel?,120,215,Art|Comics
484,Share your art progressions!,7,261,Art|Comics
485,Fonts Website is soooo coooolllllllllllio,126,290,Art|Comics
486,An unwritten history | Tapas m.tapas.io,13,69,Art|Comics
487,"Looking for a comic, siblings get powers from rock, she takes over the world",211,42,Art|Comics
488,"My proof reader is unable to read my new episode, so would love to have some help from you",20,110,Art|Comics
489,I’ll do some sketchy sketches,222,116,Art|Comics
490,Gush about your OCs and have a conversation,51,645,Art|Comics
491,Let me draw your OC,1.0k,415,Art|Comics
492,Draw This In Your Style just some Art Fun,2,73,Art|Comics
493,How do you develop an interesting universe?,88,166,Art|Comics
494,"A preview, and a new character!",4,68,Art|Comics
495,Critique my character design,146,85,Art|Comics
496,Show me your shading pipeline!,5,219,Art|Comics
497,"What is your universe system in your Novel or Comic? (Multiverse, Universe, etc.?)",121,116,Art|Comics
498,Show me your funky lil pals,9,180,Art|Comics
499,Odd sources of comic inspiration?,135,185,Art|Comics
500,Draw this in your style,4,283,Art|Comics
501,When do you like to emphasize words in your speech bubbles?,126,146,Art|Comics
502,I will draw your OC throughout the weekend [Closed],28,237,Art|Comics
503,Building an Audience: tips on how I got 30k subscribers on Webtoon and Tapas,454,3.8k,Art|Comics
504,How to Use Social Media… when you hate it?,10,341,Art|Comics
505,How do I query as a comic writer?,249,68,Art|Comics
506,I’ll draw your OC :D,18,1.7k,Art|Comics
507,Your most cursed drawings yet,183,747,Art|Comics
508,My new comics “World of Crave - Exposed”,2,69,Art|Comics
509,"I mean, I made the cover to my webtoon",76,128,Art|Comics
510,Agile drawing vs waterfall drawing,4,369,Art|Comics
511,What do you consider to be the weakest area in your art?,142,202,Art|Comics
512,Anyone using Artfol? What’s your opinion?,12,302,Art|Comics
513,Draw my subscribers characters,142,62,Art|Comics
514,A better explanation of magic,3,103,Art|Comics
515,Honest Banner Critiques please,123,129,Art|Comics
516,What comics and comic creators do you look up to?,8,120,Art|Comics
517,Is animal anatomy follow proportionality?,98,94,Art|Comics
518,Free Practice Sketches! – Characters Needed,0,244,Art|Comics
519,Share the most attractive character from your comic!,102,399,Art|Comics
520,"Help me support my comic, and I’ll draw your OC in a creeppy/weird way!",25,685,Art|Comics
521,Needed critics on my script,349,101,Art|Comics
522,Art Contest: Draw a Penguin,20,175,Art|Comics
523,Tough Stuff: Buildings,249,118,Art|Comics
524,Turning au sanses into cute girls,5,94,Art|Comics
525,What was your art journey like? Show me pictures!,926,220,Art|Comics
526,Title/Ending Cards!,1,66,Art|Comics
527,Show me your comics! I also hope to make friends this way too (Only people my age please! ),69,224,Art|Comics
528,Published My Comic in Print Today!,61,132,Art|Comics
529,"I mean, critique and advice would be nice!",553,128,Art|Comics
530,I’m bored so I’ll sketch your couple,1,248,Art|Comics
531,I need practice! Give me your OCs to draw!,307,169,Art|Comics
532,The “I’m having art block so I’ll draw your OCs” thread!,33,273,Art|Comics
533,I’ll draw you’re character if you check out my comic,1.3k,93,Art|Comics
534,Fan art for tapas creators,10,152,Art|Comics
535,"Lets see your latest comic! Plus, post a panel you liked from someone else’s comic",199,148,Art|Comics
536,Other websites to host my webcomic aside Tapas and Webtoon,0,170,Art|Comics
537,3d color model library for Clip Studio Paint,90,81,Art|Comics
538,Should I add an exposition info-dump or risk awkwardness?,20,114,Art|Comics
539,Most recent art-post here! doesn’t have to be comic related!,328,141,Art|Comics
540,Reply down below the worst comment you’ve ever received from a reader,1,1.6k,Art|Comics
541,How Artists Can Avoid Being Exploited,71,981,Art|Comics
542,Love Character design. Show me yours,0,383,Art|Comics
543,Feedback on Design Title,74,104,Art|Comics
544,"Kind of a question everyone wants to know, how do i get my comic noticed",15,279,Art|Comics
545,Is digital drawing like…hard?,207,337,Art|Comics
546,Do You Color By Object or By Panel,0,241,Art|Comics
547,Feeling blue about my comic,123,193,Art|Comics
548,I wanna get to know about YOUR characters! [mini Character Card],229,1.1k,Art|Comics
549,Photoshop Scripting + Actions to Save Time,9.6k,446,Art|Comics
550,When does act 1 end in a webcomic format?,27,149,Art|Comics
551,Who influenced your art style?,292,380,Art|Comics
552,What do you use to make you’re comic?,17,199,Art|Comics
553,Do you want your comic made into anime…?,236,1.1k,Art|Comics
554,From which point of view do you tell your comic? Do you often switch?,21,117,Art|Comics
555,Why do you like GL?,257,303,Art|Comics
556,Where to post or promote Spanish language comics?,0,150,Art|Comics
557,Feedback on my anime styled shading style,73,144,Art|Comics
558,Make a character! theme : magical girl,5,208,Art|Comics
559,Character concepts for people,131,167,Art|Comics
560,What impression do you get from these fictional letters?,0,125,Art|Comics
561,How do I avoid falling into the same traps as I did with my last project?,90,321,Art|Comics
562,Overcoming the echo chamber,4,531,Art|Comics
563,Let’s Share our Tips & Tricks - Special Effects,107,234,Art|Comics
564,Smoking as a character trait,32,397,Art|Comics
565,How Many Comic Book ART STYLES have you TRIED drawing?,193,253,Art|Comics
566,"Artists, show me your skeletons!",12,326,Art|Comics
567,Post a panel/paragraph from an unpublished chapter!,386,360,Art|Comics
568,World building- basic laws of magic,4,104,Art|Comics
569,Draw my character i draw you’re character,96,144,Art|Comics
570,Create a character! Theme: succubus\incubus,0,271,Art|Comics
571,When should I reveal my character sheets for the main cast of my comic?,42,99,Art|Comics
572,Describe your creative process in one Pic or Gif!,55,360,Art|Comics
573,Nuevo episodio!,387,57,Art|Comics
574,Thank you for 1000 views!,3,136,Art|Comics
575,Draw Everyday Thread,129,530,Art|Comics
576,Give Me Your Monster GF/BFs!,21,309,Art|Comics
577,Just reread my comic and I feel like starting all over again,301,159,Art|Comics
578,Stepping away from my comic 😔,14,211,Art|Comics
579,Need good resources for fantasy and sci-fi clothing,197,184,Art|Comics
580,Getting back into Pen and ink–what nibs should I buy?,0,2.5k,Art|Comics
581,🕒TimeSkip: Show your 2 continuous panels & say what actually happened in-between (RULE: same scene),53,149,Art|Comics
582,Enemies to lovers?,66,358,Art|Comics
583,Plz Criitiq Kovur ARt fur Komik. Alzo posst Avril 1zt aart two!1,962,158,Art|Comics
584,What makes a good fight scene?,38,233,Art|Comics
585,What do you think is the strongest area of your art? (Share your art!),324,219,Art|Comics
586,What was your first webcomic?,0,229,Art|Comics
587,New Cover! Show me yours,134,255,Art|Comics
588,What do you do with your REALLY old art?,1,363,Art|Comics
589,My Tablets broken?,157,87,Art|Comics
590,Those who draw traditionally: Show your drawings or comic panels with MISTAKES & the CORRECTED ver,9,296,Art|Comics
591,"Recovering from artblock, give me your characters to draw (closed)",190,316,Art|Comics
592,Do you have wholesome parent-child moments in your comics?,20,408,Art|Comics
593,Sexy characters in your comic/novel,453,448,Art|Comics
594,Share your favourite panels!,14,224,Art|Comics
595,What Font Do You Like?,231,205,Art|Comics
596,How often do you think of giving up?,1,818,Art|Comics
597,I’ll draw 4 people’s OCs as apocalypse survivors (CLOSED),70,173,Art|Comics
598,What’s the CRAZIEST art workload you’ve ever had?,0,213,Art|Comics
599,Photo app for phone that allows me to look at my web comic as a web comic?,71,92,Art|Comics
600,What Part Takes the Longest to Finish?,6,416,Art|Comics
601,"Remaking a horror webtoon,.. well it’s’more like a “what if” scenario",172,69,Art|Comics
602,Character evolutions,45,421,Art|Comics
603,Unintentionally Inappropriate Drawings,1.2k,537,Art|Comics
604,Why do you like BL?,34,383,Art|Comics
605,Which color palette is the best for this outfit?,1.1k,101,Art|Comics
606,What’s your least favorite part about making your comics?,20,298,Art|Comics
607,How long does it take for you to read your entire comic/novel,185,195,Art|Comics
608,Does anyone else spam undo when inking their comic?,12,231,Art|Comics
609,Hey hey artists and all in one creators! Let’s talk about clean linework,447,150,Art|Comics
610,How would you rate your own art? (from 1 to 10),11,713,Art|Comics
611,Why is it looked down upon when you shade with black?,210,263,Art|Comics
612,"My comic started as a bad fanfiction. What about yours? Share your experience, comics and novels",8,423,Art|Comics
613,Share a page of your comic out of context,141,326,Art|Comics
614,Goofiest facial expressions of your characters,5,210,Art|Comics
615,Taking on Long Challenges (or: Monkey Moments),86,77,Art|Comics
616,Hii! New Creator just wants to introduce herself properly and get to know others!,24,511,Art|Comics
617,Let’s discuss Art and Mental health,183,599,Art|Comics
618,How do I handle this type of villain?,2,171,Art|Comics
619,Hybrid animals?,182,577,Art|Comics
620,The importance of a ‘kid friendly’ persona,23,252,Art|Comics
621,"Do you create first and then show, or mention and then do?",295,145,Art|Comics
622,Hi all! It’s been along time!,29,108,Art|Comics
623,Any Opinions about WebComics?,293,271,Art|Comics
624,Share redesigns!,2,102,Art|Comics
625,Speaking about anti-male bias…yay or nay?,77,1.0k,Art|Comics
626,Guy how do we make book covers?,4,108,Art|Comics
627,Post your new episode!,142,148,Art|Comics
628,Social media progress as a new creator [Updates every 3 months],2,187,Art|Comics
629,Virtual Pat on the Back for Comic Artists,103,220,Art|Comics
630,Procreate Users: I Made a Comic Kit So You Don’t Have To,2,669,Art|Comics
631,Does anybody know anything about WebComics?,137,150,Art|Comics
632,Musing about Helpful Books for Comic Creators and Storytellers,31,54,Art|Comics
633,Looking to network and meet some comic friends!,304,88,Art|Comics
634,Is using photographs as textures considered sinful?,31,268,Art|Comics
635,Creating Ref Sheets,250,202,Art|Comics
636,My comic got selected as a ‘Fresh Pick’ on WEBTOON!,2,182,Art|Comics
637,Just another art evolution thread,150,211,Art|Comics
638,Lezhin Comics Submission,10,437,Art|Comics
639,Where to host fancomics?,328,64,Art|Comics
640,Art Experience and Appreciation,44,68,Art|Comics
641,Good resources for gesture drawings?,473,146,Art|Comics
642,What’s a good way to come up with a comic’s story?,10,132,Art|Comics
643,To those struggling to finish a comic,170,169,Art|Comics
644,Do you think it’s a good idea to commission cover art for a comic?,19,170,Art|Comics
645,Share your WIP!,192,937,Art|Comics
646,My comic made the front page of Reddit!,26,653,Art|Comics
647,How to hate your ideas?,214,217,Art|Comics
648,Who’s got awesome interiors?,32,610,Art|Comics
649,Brainstorm: details that make a fictional world feel ALIVE?,191,133,Art|Comics
650,Stuck on designing settings for backgrounds,10,115,Art|Comics
651,Human or nonhuman? (+poll),141,272,Art|Comics
652,Whats your process for story ideas/story creation?,21,220,Art|Comics
653,Wood Mannequin Alternatives,322,390,Art|Comics
654,Catharsis vs. Escapism and Censorship in Webcomics,14,470,Art|Comics
655,"You Are Enough, and So Are Your Ideas",211,287,Art|Comics
656,Filler Material between Chapters - World extension,5,217,Art|Comics
657,Beta Reader Exchange,111,125,Art|Comics
658,Join our BL discord!,3,187,Art|Comics
659,Just reached a 100 subs. I’ll draw for you! [closed],83,248,Art|Comics
660,Do Tapas Premium authors get salaries?,13,142,Art|Comics
661,Artists: Show me your Timelapse Videos!,179,939,Art|Comics
662,A ticket with death time for reapers?,15,89,Art|Comics
663,I want to redraw a panel from your comic [closed for new redraws],180,2.4k,Art|Comics
664,Feedback on New Cover Art,11,78,Art|Comics
665,Any other comic creators work in Adobe Illustrator / Affinity Designer / Vector format only? Let’s see!,267,165,Art|Comics
666,Tips on how to draw realistic faces pls,18,265,Art|Comics
667,Share your Character Designs!,178,3.1k,Art|Comics
668,What does art/writer’s block feel like to you?,13,137,Art|Comics
669,"Realistic, Expressive or Beautiful Faces?",223,204,Art|Comics
670,A story to comic,36,89,Art|Comics
671,I want to draw for you,247,159,Art|Comics
672,Musing about Birthdays,87,107,Art|Comics
673,Finally making the leap! Would love some feedback on the storyboard!,3.8k,158,Art|Comics
674,Musing about Artistic Styles and Thumbprints,169,418,Art|Comics
675,Length of first episode,910,112,Art|Comics
676,Critique this trading card design…among other things,47,116,Art|Comics
677,Hi! I’m introducing myself,454,176,Art|Comics
678,Please recommend poly comics!,0,674,Art|Comics
679,Summarize your Comic/Novel in five words or less!,66,1.2k,Art|Comics
680,Let’s be Helpful and Share Some Resources and Wisdom,42,342,Art|Comics
681,Drawing Beards/Facial Hair,387,299,Art|Comics
682,The science in science-fiction,10,207,Art|Comics
683,Individual Issues or Graphic Novels,210,153,Art|Comics
684,Share your novel’s view/like/comment counts!,33,303,Art|Comics
685,Need Some Opinions/Help,1.9k,142,Art|Comics
686,When is a comic a novel?,3,100,Art|Comics
687,Share me your favorite comic covers,163,74,Art|Comics
688,Sweet or sour get to know your character,4,177,Art|Comics
689,Drawing Tips :D,141,208,Art|Comics
690,Can we talk about the buying tweets situation? Should artists be concerned?,3,543,Art|Comics
691,Just reached 1k!,98,239,Art|Comics
692,Who is your musical muse?,26,158,Art|Comics
693,What do you think is the most unique/interesting thing about your artstyle?,9.3k,647,Art|Comics
694,Post your most recent character design!,43,571,Art|Comics
695,Useful info on lettering and balloons,552,171,Art|Comics
696,¡¡Cómic en español!,17,92,Art|Comics
697,Share your happy accidents,281,86,Art|Comics
698,Original Creature/Monster Showcase,54,880,Art|Comics
699,The first comic you ever read + the ones which inspired you to write/draw one,211,199,Art|Comics
700,Webcomic Help? Tutorials and more,14,79,Art|Comics
701,Is my series just not good?,179,536,Art|Comics
702,Talk about one webcomic you wish was different without naming the comic,13,105,Art|Comics
703,ENSMILE your facial is your weapon,206,79,Art|Comics
704,Boys Love Corner,1,478,Art|Comics
705,"Area 51, Aliens, and Sci-Fi",92,538,Art|Comics
706,Space Pirate Episode 14 - share your recent episodes!,0,53,Art|Comics
707,What’s your stance on 3d background?,75,367,Art|Comics
708,What if your blurb was written by your characters? (Promotion time),3,1.1k,Art|Comics
709,What makes an idea good enough to stick with?,106,281,Art|Comics
710,What I Learned About Making a Short Story (Mattress At Luvia),23,429,Art|Comics
711,Noob searching to colaborate someone’s comic,419,299,Art|Comics
712,Do the overlays actually help?,9,178,Art|Comics
713,Let’s Muse about Character Creation,172,193,Art|Comics
714,Why are so many comics just 1 or 2 pages per episode,10,525,Art|Comics
715,OC Voice Acting Thread Rebooted,207,118,Art|Comics
716,HELP! With art design lol,6,85,Art|Comics
717,CONTEST: Hot Chocolate and Marshmallow fanart,112,880,Art|Comics
718,Has anyone done sound design for their comic or novel?,9,91,Art|Comics
719,Anyone else feel insecure about making a comic?,108,290,Art|Comics
720,Is this Prologue hook-worthy?,45,158,Art|Comics
721,Tips on Making Zines,469,129,Art|Comics
722,Post your New Art work/comic,31,780,Art|Comics
723,Aggie.io drawing sessions!,461,84,Art|Comics
724,Drawing ideas anyone?,23,104,Art|Comics
725,Show Me Animal Comics!,1.4k,152,Art|Comics
726,How can I spruce up this lineart? Trying to avoid shadows,3,145,Art|Comics
727,An Anime a Day Challenge,110,227,Art|Comics
728,Closed Because the problem was solved,38,84,Art|Comics
729,Subscriber thank yous!,328,161,Art|Comics
730,Check out our comics and let’s check yours,10,141,Art|Comics
731,I’ll draw your oc!,181,404,Art|Comics
732,What way do you go?,23,208,Art|Comics
733,Story That Takes Place In The Galaxy,265,66,Art|Comics
734,"Comic when using my pc is good quality, but bad quality on my phone",19,103,Art|Comics
735,Random Friendly RP,156,3.3k,Art|Comics
736,How to make a charming/charismatic character,58,155,Art|Comics
737,Drawing poses from memory,410,135,Art|Comics
738,The Struggle of Original Comics vs Fan Comics,3,219,Art|Comics
739,Post Yaoi or Yuri drawings of your comic characters,123,4.4k,Art|Comics
740,Weapons with an elemental ‘feel’,10,163,Art|Comics
741,Your thought about the general pacing in webtoon?,171,315,Art|Comics
742,Pets are People Too (Comic Promo),23,60,Art|Comics
743,Let’s Muse: Creative Goals & Reaching Them 2k21 Edition,271,234,Art|Comics
744,"Explain the plot of your novel or comic, badly",13,4.6k,Art|Comics
745,What’s a good way to get new original ideas?,164,380,Art|Comics
746,Lets Talk Colors,17,567,Art|Comics
747,Incentive for people buying comics,128,309,Art|Comics
748,Behind the Scenes of a Korean Webtoon Studio,8,281,Art|Comics
749,Outfit of the day… in MS Paint!,143,161,Art|Comics
750,Least favorite cliches or tropes,27,8.2k,Art|Comics
751,Communicating in Cartoons for Dummies,240,164,Art|Comics
752,How do you like your lineart? (poll),28,463,Art|Comics
753,Creators: Apologising for your work?,237,698,Art|Comics
754,Does lezhin only allow people from north east asia to post comics on their site?,36,140,Art|Comics
755,Autobiographical Comics,348,255,Art|Comics
756,"GIFs, anyone? Anyone at all?",9,264,Art|Comics
757,✨ Emoji Pitch Winners ✨,182,521,Art|Comics
758,Show your most significant panel in your story,37,117,Art|Comics
759,Lets see Timeskips of your Original Character,282,222,Art|Comics
760,Old vs New Covers! Let’s see them,47,270,Art|Comics
761,So now what next?,499,263,Art|Comics
762,Do you have a DA drop it here,23,184,Art|Comics
763,Good Fanart Contest Rewards?,181,111,Art|Comics
764,Does any one do speed-paintings?,184,1.6k,Art|Comics
765,What changes have you made within yourself/Art (Artists Only),3.9k,158,Art|Comics
766,How do i find an artist,19,175,Art|Comics
767,Anyone do special episodes in a different style?,1.4k,74,Art|Comics
768,Let me know what you think?,19,143,Art|Comics
769,What to do if the readers and you want different things?,145,261,Art|Comics
770,Chapter length preference,14,105,Art|Comics
771,✨ Staff Pick Chance for Comics: Emoji Pitch ✨,173,3.7k,Art|Comics
772,Funhouse Mirrors - Does anyone use different page layouts between Tapas and WEBTOON?,12,203,Art|Comics
773,Anyone here post their comic in Spanish?,183,106,Art|Comics
774,ComicFury for scroll format?,0,237,Art|Comics
775,Art trades (January Edition),74,476,Art|Comics
776,Are Chapter Covers Necessary Anymore?,9,253,Art|Comics
777,BL Tuesday Tips,124,108,Art|Comics
778,Lets make some Reading Lists!,7,124,Art|Comics
779,Show me your action comics!,104,341,Art|Comics
780,What do you do when you’ve put all your creative eggs in one basket?,0,491,Art|Comics
781,Happy (Belated) Valentine’s Day!,56,83,Art|Comics
782,Share your latest cover art + link your comic/novel!,2,274,Art|Comics
783,Motivation Monday for BL creators,130,83,Art|Comics
784,Flex your comic cover! (Read for Read),8,202,Art|Comics
785,Diversity in Comics/Novels,198,1.2k,Art|Comics
786,I’ve finished my first chapter! + Q&A!,2,101,Art|Comics
787,Valentines Day Art Share?,62,255,Art|Comics
788,Deciding outfits for your characters,19,433,Art|Comics
789,What’s your opinion on cliffhangers and subversive cliffhangers? Do you do them?,216,115,Art|Comics
790,Comic page panel layout tips?,161,113,Art|Comics
791,Who are your most powerful OC’s?,4.4k,2.2k,Art|Comics
792,Characters with big chompers,13,289,Art|Comics
793,Need a little info on Dick Tracy,181,171,Art|Comics
794,How has your series artstyle evolved?,1,350,Art|Comics
795,Share Your W.I.P. 2021,111,164,Art|Comics
796,My honest thoughts on photoshop,8,2.8k,Art|Comics
797,Show us your weirdest character,144,552,Art|Comics
798,Share your design process of characters or scenery,52,208,Art|Comics
799,If you were inside your comic what would you be?,503,237,Art|Comics
800,I got my comic professionally printed! Ask me anything!,56,303,Art|Comics
801,How do you view your art?,399,251,Art|Comics
802,Meet my comic Odds & Ends,6,64,Art|Comics
803,How to pose a swordsman,100,189,Art|Comics
804,What tools ou use for your art?,27,884,Art|Comics
805,Logos and Typography,284,97,Art|Comics
806,Post your latest page/art piece and I’ll tell you a specific reason why it’s good,6,534,Art|Comics
807,What would be the best thing to do with my next comic’s protagonists?,166,154,Art|Comics
808,Question About Domestic Issues in Fiction,22,262,Art|Comics
809,Formal characters/ OCS!,322,303,Art|Comics
810,Help on keeping characters stereotype-free,42,301,Art|Comics
811,Post your latest artworks(Traditional or Digital)!,522,438,Art|Comics
812,Theater Lobby - 4. Prince Q&A,10,253,Art|Comics
813,Will this be ok to post as a comic cover or not?,226,233,Art|Comics
814,How are some comics able to be so long and still fit in the MB limit?,14,313,Art|Comics
815,Post artwork that others made for you,158,1.1k,Art|Comics
816,What music does your ocs listen to?,17,95,Art|Comics
817,Do you have ‘Indirect Mentors’ you look up to? Share it & explain why,333,357,Art|Comics
818,How did you decide what you wanted for your comic?,1,243,Art|Comics
819,Anyone else posting on GlobalComix? Share your links!,76,504,Art|Comics
820,Pacing & Three-Act Structure: How I Realized I Needed to Burn Everything,22,980,Art|Comics
821,What do you prefer to read and/or draw : Comics in color or B/W?,258,242,Art|Comics
822,"What kind of creative projects would you want to do, given you had more time?",34,209,Art|Comics
823,Show us your series poster & why it’s designed like that,341,950,Art|Comics
824,Blending prefab assets into scenes seamlessly,21,205,Art|Comics
825,Tips for getting better at paneling,155,158,Art|Comics
826,"Essential shots/panels (wide screen, close up etc) for comics. What do you use the most?",8,209,Art|Comics
827,Space Pirate Episode 9 released! Share your latest release!,185,158,Art|Comics
828,Feedback on my new art style please,2,274,Art|Comics
829,Help with this magical girl color scheme!,88,661,Art|Comics
830,Free art production tools and resources!,19,178,Art|Comics
831,What animal should I draw?,197,299,Art|Comics
832,Starting out advice,23,307,Art|Comics
833,Looking for these MANGA MOOD EFFECTS for Photoshop,264,91,Art|Comics
834,What’s a good time to post on Tapas?,19,214,Art|Comics
835,What’s the most difficult face anatomy you find to draw?,211,281,Art|Comics
836,Long Running Comic Series!?,41,154,Art|Comics
837,Well. Doing it. Actually starting a series. God help me,293,205,Art|Comics
838,How come nobody borrows the “Cover Stories” from One Piece?,14,130,Art|Comics
839,I’ll do flat colours for your art piece! (No pages),176,154,Art|Comics
840,Name for a fantasy story,42,151,Art|Comics
841,Gay Werewolf Comics but without omegaverse or alpha/beta dynamics,244,446,Art|Comics
842,Right away or short comic first?,2,255,Art|Comics
843,Space Pirate episode 13 + share your comic,104,161,Art|Comics
844,If you had a £50 Amazon voucher what would you spend it on?,25,174,Art|Comics
845,I will redraw a panel from your comic! [3/3 - CLOSED],275,121,Art|Comics
846,Do you go all out?,2,429,Art|Comics
847,"Tough Stuff: Glass, Metal, & Other Shinies",78,194,Art|Comics
848,Little Marketing Tip,2,791,Art|Comics
849,How do i know if my pacing is too fast?,91,161,Art|Comics
850,How much buffer before publishing?,37,311,Art|Comics
851,Recommendations about animation programs?,299,403,Art|Comics
852,How do you promote your comics if you just started?,17,95,Art|Comics
853,Any tips on composition for a cover,94,137,Art|Comics
854,Share your most recent drawing!,9,14.2k,Art|Comics
855,How much time do you spend on your comic?,606,274,Art|Comics
856,Looking for a more contained type of fantasy comics,10,478,Art|Comics
857,Black and White or Full Color?,108,88,Art|Comics
858,Follow and Follow back,2,354,Art|Comics
859,Could use some advice about a comic idea I’m working on,83,100,Art|Comics
860,Commission comparison please help :>,3,131,Art|Comics
861,I made a new banner! Show me yours!,130,222,Art|Comics
862,Which looks better: color or none?,2,189,Art|Comics
863,I Want To Share Some Promo Art Of My Comic!,148,132,Art|Comics
864,Looking for tips/help on writing/drawing comics,306,133,Art|Comics
865,Help new webcomics stand out on TV Tropes,5.3k,129,Art|Comics
866,Any one know of a cheaper alternative to Copic markers?,18,164.0k,Art|Comics
867,How do you design a commission poster?,304,95,Art|Comics
868,Ever had someone like every episode,5,258,Art|Comics
869,Character’s OOTD,188,169,Art|Comics
870,Online drawing courses,3,91,Art|Comics
871,What’s the issue with this drawing?,106,336,Art|Comics
872,Share your favorite art tutorial videos here!,10,82,Art|Comics
873,How do I make things seem like I’m not just going through the motions again?,219,246,Art|Comics
874,Post your webcomic’s CUSTOM MUSIC,20,172,Art|Comics
875,What do you think of this latest concept?,269,110,Art|Comics
876,Depression and making comics,2,1.5k,Art|Comics
877,Should I be worried about this?,86,262,Art|Comics
878,Share an artist that inspires you!,11,276,Art|Comics
879,Post your extremely specific art tips!,144,294,Art|Comics
880,"If you like Warrior Cats, you might like my webcomic. What was one of your major influences when writing your story/webcomic?",19,202,Art|Comics
881,Let me redraw your art in my own style! (Closed for new requests),571,1.4k,Art|Comics
882,250 subscribers milestone Q&A!,0,130,Art|Comics
883,Milestone coming up but I cant decide on an event!,62,100,Art|Comics
884,Promote your webcomic! (Welcome 2021!),24,580,Art|Comics
885,Video as part of your comic,245,124,Art|Comics
886,Are we not giving places like Webtoon enough credit?,19,619,Art|Comics
887,My Journey as a Creator,178,192,Art|Comics
888,Share your Tapas Cover!,7,295,Art|Comics
889,Choosing THE Date to Post Your Comic/Novel,71,276,Art|Comics
890,What are your real active stats? (in 2021),31,246,Art|Comics
891,Current Social Media Art Trends,195,421,Art|Comics
892,Have you ever felt a bit insecure about your comic?,8,871,Art|Comics
893,Willing to read any (ACTION COMIC) and share my views on it (CLOSED),112,206,Art|Comics
894,Inspiration from dreams?,4,265,Art|Comics
895,Uselessness beyond reaching point,77,330,Art|Comics
896,Redrawing your comic panels!,10,187,Art|Comics
897,How do you guys create conflict for your plots?,151,217,Art|Comics
898,Should I give up on this art style…?,5,292,Art|Comics
899,How to restart a comic?,110,152,Art|Comics
900,Pen Drawing Challenge- Are you brave enough?,19,113,Art|Comics
901,Affinity 50% Off Sale,163,128,Art|Comics
902,How do I draw fluid(?) figures?(Added new drawings to the original post),5,515,Art|Comics
903,What type of prologue should I go with for my comic?,120,182,Art|Comics
904,One page comic about Depression and Loneliness (Share your own works as well),11,1.0k,Art|Comics
905,Weekly Talk #2 What’s a good relationship in a story?/What makes a character death emotional?,112,648,Art|Comics
906,Help me find a title….please!?,16,157,Art|Comics
907,Looking for artist- willing to pay but looking for specific skills,178,146,Art|Comics
908,Review-A-Thon (5 of 5) (CLOSED),2,218,Art|Comics
909,2017 vs 2021 - I’ve redrawn one of my fav drawing ever!,139,132,Art|Comics
910,Tell me about your comic journey!,17,388,Art|Comics
911,The Utopian Boyfriend (LGBT),130,92,Art|Comics
912,Practicing my editing Skills; Take it as a cover if you like it,95,204,Art|Comics
913,What’s your creative goal for today?,5.9k,964,Art|Comics
914,Have you drawn food in your comics? I’d love to see it!,0,368,Art|Comics
915,Posting a horizontal comic?,56,242,Art|Comics
916,Tell me about your Ink Goals! (I’ve got ink to spend!),71,197,Art|Comics
917,What do you value more - good art with a sub-par story or terrible art with an amazing story?,473,1.9k,Art|Comics
918,Roughs vs final page process,38,502,Art|Comics
919,Do’s and Don’ts in a Webtoon,282,233,Art|Comics
920,How do you make unique villain designs?,22,189,Art|Comics
921,Let’s Talk about the Technical Side of Creating,481,281,Art|Comics
922,Coloring tips/tutorials?,4,155,Art|Comics
923,Creators on twitter,154,370,Art|Comics
924,Looking for artists to help with story boarding and / character designing (UNPAID),4,100,Art|Comics
925,Anyone have any good Character Starters?,94,116,Art|Comics
926,Share your favorite out of context piece of art from your comic,45,206,Art|Comics
927,Show off episode thumbnails,288,160,Art|Comics
928,Retainers paid while working,88,151,Art|Comics
929,ARTIST looking to build collaborative TEAM for SHORT comics,890,624,Art|Comics
930,The Origin Story of Your Work and Where You Are Now,62,444,Art|Comics
931,What’s your Instagram account,960,11.3k,Art|Comics
932,Jewish Artists/Writers Group!,21,108,Art|Comics
933,Does a 50/50 split on potential profits REALLY make sense?,182,3.8k,Art|Comics
934,Comic authors! Page every week or a Chapter every month?,4,381,Art|Comics
935,How BALANCED is your Main Cast? ^^ [Character Balance Sheet],132,652,Art|Comics
936,Drawing in a Manga Style,50,249,Art|Comics
937,My Tools For Making Videos || Speedpaints etc,545,315,Art|Comics
938,Stylizing Real People?,4,168,Art|Comics
