,titles,replies,views,category
511,Italic still gone in preview section,86,218,Tech Support
512,Dark Mode PLZ?!?,21,763,Tech Support
513,Where did comment notifications go?,578,232,Tech Support
514,Closed Thread. Delete pls,4,293,Tech Support
515,Trigger happy links in App,157,189,Tech Support
516,I can’t seem to upload pages anymore,11,826,Tech Support
517,I can’t upload any images! help!,953,213,Tech Support
518,Never received confirmation email!,0,176,Tech Support
519,Request For Forum Account/Post Deletion/Deactivation,78,263,Tech Support
520,Help with tapas app “free ink”,7,342,Tech Support
521,Glitch regarding number of series’ and ad revenue tab on the web version,118,450,Tech Support
522,** [change/update password – hacker is about]]**,3,368,Tech Support
523,Can’t earn ink on the website,181,219,Tech Support
524,Offer isn’t showing anymore,15,173,Tech Support
525,Update: iOS Purchase Issue,268,343,Tech Support
526,No activation email,5,407,Tech Support
527,Can’t schedule a new episode without it trying to overwrite another scheduled episode?,148,291,Tech Support
528,Wait for Free Series charging Ink for Episode that should be Available?,2,381,Tech Support
529,Why aren’t my episodes appearing on the mobile version?,110,293,Tech Support
530,Ad impressions and ad revenue not updating,12,3.2k,Tech Support
531,Chrome on Android – Double Notifications,277,304,Tech Support
532,Glitch report: Mature filter isn’t showing up,6,471,Tech Support
533,Error 500 when trying to access comics (website),195,374,Tech Support
534,I can’t view the chapters that I put as MATURE,10,532,Tech Support
535,"Bug in Tapas app for unpublished, edited episodes",252,473,Tech Support
536,"Tapas app keeps stopping, please help me!",5,360,Tech Support
537,No image on my wall?,96,329,Tech Support
538,Possible Tag Bug,2,312,Tech Support
539,Novel turning into a comic,109,252,Tech Support
540,*solved* New Novel changes to a comic,9,247,Tech Support
541,JPG File Issues,128,282,Tech Support
542,No Ad Revenue? Glitch?,4,388,Tech Support
543,Earning Ink - Help,183,422,Tech Support
544,"Let me in, LET ME IN!",4,553,Tech Support
545,Importing Novel Episodes,133,203,Tech Support
546,Ink doesn’t display properly,5,273,Tech Support
547,I wanna cry… Tapas… plz help,137,647,Tech Support
548,Problems with Milestone,1,443,Tech Support
549,"Cannot log into forums in mobile site, always prompts me to log into the app",82,325,Tech Support
550,Publishing bug? “You can’t publish a blank episode.”,1,705,Tech Support
551,Tapas website going slow,102,1.0k,Tech Support
552,The site is broken again! yaaaayyyy,4,524,Tech Support
553,[SOLVED] Can’t login to forum on desktop,168,446,Tech Support
554,Unable to scroll down,1,685,Tech Support
555,App keeps crashing or just won’t open,113,294,Tech Support
556,Why are messages deleted on the main site?,7,615,Tech Support
557,Clicking the HEART for chapter like opens up spam page,157,473,Tech Support
558,(Novels) Question about italics,65,325,Tech Support
559,No notifications for watched topics in the forum,858,345,Tech Support
560,Claiming “Jewel” title,1,355,Tech Support
561,“Can not recognize [filename] file type” error uploading regular jpgs [fixed],148,458,Tech Support
562,Cannot publish a chapter (novels),12,589,Tech Support
563,Uploading Error on Tapas,270,867,Tech Support
564,I cant upload a thumbnail,1,216,Tech Support
565,“Oops! Something went wrong” error 9/24,128,437,Tech Support
566,Cannot upload images,2,305,Tech Support
567,Author needs help with a login problem in forum and his account,865,328,Tech Support
568,Tapas crashes on phone (oppof7),17,494,Tech Support
569,Comic thumbs not scrolling,194,412,Tech Support
570,Trouble Editing Posts,66,359,Tech Support
571,Make Tapas Better: Store and Collab Tab,917,487,Tech Support
572,Support replies does not work,7,450,Tech Support
573,Glitch (?) Can’t reply to 25 ink donations,150,248,Tech Support
574,Clip Studio Paint Cloud problems?,4,288,Tech Support
575,Not able to post on someone’s wall?,194,316,Tech Support
576,Can’t reply to comment,12,464,Tech Support
577,Comments disappearing and reappearing?,273,1.1k,Tech Support
578,Trouble sharing my comic,10,257,Tech Support
579,Custom ad not showing on iPad,279,505,Tech Support
580,Milestone/Support Program Issue,53,375,Tech Support
581,"A technical problem, I think",988,444,Tech Support
582,Please give us a notifications feed on mobile,9,1.1k,Tech Support
583,Notification issue with the new Tapas App update?,2.7k,906,Tech Support
584,Anyone else getting likes for pages that arent even out yet?,16,634,Tech Support
585,Can’t Publish since yesterday,190,374,Tech Support
586,Solved - Can Close Thread,3,363,Tech Support
587,“No Internet” message from the app,172,1.2k,Tech Support
588,Missing my “SETTINGS” save button!?,1,452,Tech Support
589,Redownloading Comic Pages?,268,449,Tech Support
590,Milestones issue,5,620,Tech Support
591,Dashboard Views,311,572,Tech Support
592,Malicious ads redirecting page?,2,316,Tech Support
593,Limit on Tags? New restriction?,202,393,Tech Support
594,Tapas app crashes on ipad pro,2,509,Tech Support
595,"Getting Notification for series I never subscribed to, how come?",128,531,Tech Support
596,App on iOS crashes(?) in landscape mode,1,459,Tech Support
597,Unable to Uninstall app,113,586,Tech Support
598,Anyone else having issues with Tapas Mobile?,4,1.9k,Tech Support
599,Pages opening in app when using full version of Tapas website on phone (on android),156,428,Tech Support
600,Notification from the support page,4,693,Tech Support
601,Milestone not completing (resolved),161,874,Tech Support
602,Ads and Surveys not working correctly on the app,2,391,Tech Support
603,Please delete all my past posts,94,720,Tech Support
604,Resending Authenticity Email,6,467,Tech Support
605,Sub Glitch -Sub counter stays the same when getting new subs,199,280,Tech Support
606,Problem: failed to connect to api.tapas.io (MOBILE),2,1.3k,Tech Support
607,Tapas App - little to no ads to watch,149,10.7k,Tech Support
608,Is this an error? the subscriber different,9,317,Tech Support
609,Italics problem?,249,1.5k,Tech Support
610,Can’t Upload file help please! Someone (Fixed),1,669,Tech Support
611,Having Email Issues,77,384,Tech Support
612,How to Insert Animated GIF (.gif) Into Tapas Novel?,2,370,Tech Support
613,Staff Picked Novels not showing up on app,111,264,Tech Support
614,Is there a way to turn off comments on my Tapas profile?,6,638,Tech Support
615,Navigating on Website,202,290,Tech Support
616,How can I un-link my facebook account?,1,256,Tech Support
617,Malformed link URL in Tapas icon of latest Tapas “Activity” notifications,218,448,Tech Support
618,“1 free episode” problem on premium comics,11,505,Tech Support
619,Layer Troubleshooting,243,424,Tech Support
620,Some premium sections don’t work?,10,481,Tech Support
621,A glitch with “unread” posts,274,226,Tech Support
622,Front page trending doesn’t match the actual trending page,3,436,Tech Support
623,PLEASE HELP ME! Tablet stopped working and won’t turn back on,137,418,Tech Support
624,Initial comic page or thumbnail upload attempt does nothing,0,255,Tech Support
625,Some popular novels have less than 20 subs + reads,99,406,Tech Support
626,Subbed to top 50 premium comics after entering the instagram promo code?,2,1.7k,Tech Support
627,Trouble with Formatting Novel Text,128,2.2k,Tech Support
628,Images and buttons to add episodes and comics are in a weird position,8,323,Tech Support
629,Can’t login with different email,265,301,Tech Support
630,Tags on episodes not working,20,573,Tech Support
631,Lots of Broken Profile Images,355,733,Tech Support
632,Clearing out “keep reading” on app?,9,1.9k,Tech Support
633,Does anyone else get anonymous likes/comments,143,360,Tech Support
634,Can’t update my novel,0,560,Tech Support
635,Tapas App | Logout Issue,105,422,Tech Support
636,I get this message even though I have ads allowed on the Tapas website?,12,429,Tech Support
637,Disable commenting on profile page?,109,535,Tech Support
638,"“Uh oh, something went wrong” when try to add new ep page",9,942,Tech Support
639,Tapas not showing up on the app store,296,1.1k,Tech Support
640,"My webcomic has 150 subs, STILL doesn’t show up on [ New Episodes ] on app",1,773,Tech Support
641,Help with clearing one of the milestones,103,607,Tech Support
642,Activity and stats issues,10,459,Tech Support
643,Comic not showing in app “New episodes”,4.4k,1.2k,Tech Support
644,Does anyone know a nice phone to draw on?,1,1.0k,Tech Support
645,Random images showing in Tapas app,148,584,Tech Support
646,Has anyone else noticed that stories go missing in Novel Popular?,10,434,Tech Support
647,A complaint about tapas notifications,339,733,Tech Support
648,“$panda.escapeHTML($!message.message)” support messages,0,518,Tech Support
649,Huion Tablet Opinions? (My cintiq 3-in-1 cord broke),87,2.9k,Tech Support
650,Anyone else having trouble with the Tapas app?,22,989,Tech Support
651,Can’t log in on my idevices,161,370,Tech Support
652,My New Episodes Are Getting Removed From Novels Page,4,930,Tech Support
653,Question about “Views”,102,699,Tech Support
654,Can’t find Comedy in the Tapas App,18,393,Tech Support
655,I can’t create a new series on Tapas,145,452,Tech Support
656,Tech support: Is it possible to change all episode thumbnails at once?,2,330,Tech Support
657,Mature filter switches itself on,98,1.2k,Tech Support
658,Creating a Banner For a New Series,14,469,Tech Support
659,"It’s not enough to just get notified, but pre-notified!",189,532,Tech Support
660,Money Fee problem,7,913,Tech Support
661,Another Notification Question,139,800,Tech Support
662,TAPAS APP IS BUGGING? Help me,6,649,Tech Support
663,Subscribers in notification list gone?,151,390,Tech Support
664,Subscriber Number and Milestones,1,473,Tech Support
665,App Won’t Respond When Touching the Screen on Your Phone,101,352,Tech Support
666,Bug where upcoming page shows up in library as “new”,3,614,Tech Support
667,Curse of the zombie ad blocker,136,427,Tech Support
668,Sent to unwanted sites while trying to read my comics,3,2.2k,Tech Support
669,TAPAS suddenly running slow on Safari,124,442,Tech Support
670,Help with Krita (or tablet),56,282,Tech Support
671,Tapas App no way to share links to your friends,1.4k,397,Tech Support
672,The comic wont come up on my phone,0,450,Tech Support
673,How do i make the Tapas website not do this?,124,617,Tech Support
674,Not receiving notifications or messages from people who have tipped me anymore. 😱(ANSWERED),3,452,Tech Support
675,Limited INK support message reading/replying (already solved),174,362,Tech Support
676,Unable to click anything when opening the app,18,331,Tech Support
677,No notification of subscription,326,356,Tech Support
678,Anyone has the same problem? (no ads and weird scrolling),237,357,Tech Support
679,Ads breaks the website layout,1.2k,413,Tech Support
680,Italicizing work on mobile,137,301,Tech Support
681,My life is OVER!,1.0k,671,Tech Support
682,Can’t log back in with google on chrome android,5,506,Tech Support
683,Pressure problem with a Huion tablet,174,544,Tech Support
684,I have a problem with adds! Can someone help me?,9,400,Tech Support
685,Scared of using my computer,200,497,Tech Support
686,Seeing “0 words”?,6,527,Tech Support
687,The Glitch is back,150,375,Tech Support
688,Notifications gone for replies on comments?,4,490,Tech Support
689,Library says “In 3 hours”?,204,549,Tech Support
690,BROKEN APP. java.security.cert.certpathvalidatorexception,3,407,Tech Support
691,Tapas app won’t let me log in?,142,933,Tech Support
692,Tipping videos don’t work,2,1.2k,Tech Support
693,Error not getting any coins when I watch videos?,193,2.4k,Tech Support
694,No more ads after last update,6,3.4k,Tech Support
695,Forum mobile app,314,1.2k,Tech Support
696,Anyone else having login issues?,45,338,Tech Support
697,"FIXED, Please close this topic",447,571,Tech Support
698,When i go to login the login is blank,45,438,Tech Support
699,Problem with watching ads,456,385,Tech Support
700,Tapas App lag and crash (?) when commenting,45,345,Tech Support
701,Need help with Medibang and my Wacom Tablet!,752,2.4k,Tech Support
702,This is awkward… but it seems I’ve been locked out of my old account. 😵,65,417,Tech Support
703,Tapas Writing Should Get Picture Support,660,670,Tech Support
704,Tapas connectivity issues?,1,534,Tech Support
705,Scam account on Tapas,98,855,Tech Support
706,Shown as Wait for Free on the android app home page and bookmarks but suddenly missing from wait for free in Library on phone,13,867,Tech Support
707,"I Selected Novel, But It’s Still Showing Up as a Comic",196,322,Tech Support
708,Some users tried to scam me in Tapas here,7,457,Tech Support
709,BitHacker Wall Posting,399,366,Tech Support
710,Cannot add first episode to novel series,11,404,Tech Support
711,Subscriber count not updating?,171,720,Tech Support
712,Help setting a novel to NSFW,2,476,Tech Support
713,Comic isn’t showing up in search,150,408,Tech Support
714,Read vs unread unlocked chapters,1,369,Tech Support
715,Potential Problem I noticed,121,322,Tech Support
716,PayPal payment fails on last step,1,322,Tech Support
717,Updating earlier chapters - no notification?,249,340,Tech Support
718,Blocking someone thats blocked me,6,536,Tech Support
719,I need help with Wacom lag problem,336,1.3k,Tech Support
720,I can’t even spend my money now?,11,518,Tech Support
721,Money transfer?,150,560,Tech Support
722,[Solved] “Wait for free” notification stuck for a series I’m not subscribed to,7,1.2k,Tech Support
723,Tapas wont allow me to upload an episode,315,1.2k,Tech Support
724,Ads not working,3,1.2k,Tech Support
725,[from staff] Novels creation tool – feature suggestions/wishlists?,152,2.3k,Tech Support
726,Is this a bug? (solved),2,413,Tech Support
727,Nevermind I fixed it don’t open this,131,477,Tech Support
728,Arranging Episodes?,0,872,Tech Support
729,Comics and profile pictures wont load on both the site and app,91,309,Tech Support
730,Color changed after uploading images,0,405,Tech Support
731,Has anyone else noticed an increase of bots?,820,776,Tech Support
732,Cintiq display problems,1,14.5k,Tech Support
733,Can’t change email on Tapastic,319,580,Tech Support
734,Mobile app (Android) no longer shows anything other than premium content in searches,3,623,Tech Support
735,How to create a comic that ends up on the Exclusive content,146,595,Tech Support
736,Getting serious lag issues on Surface Pro 3 suddenly - Can’t draw,0,431,Tech Support
737,Demographics Data,119,533,Tech Support
738,Malicious ads on Tapas,0,551,Tech Support
739,Disappearing likes?,102,550,Tech Support
740,Webtoons edit button error,2,646,Tech Support
741,Front page not working,169,500,Tech Support
742,"Oops! Uh oh, something went wrong",0,583,Tech Support
743,Subs going down when subscribed to (AGAIN),117,873,Tech Support
744,Sorry I’m trying to delete my forum account?,5,1.2k,Tech Support
745,Tipping yourself?,220,625,Tech Support
746,Pages not loading,2,1.0k,Tech Support
747,It’d be cool if… Feature Suggestions and Feedback!,190,7.5k,Tech Support
748,What do you use to stream and how?,11,606,Tech Support
749,Website isn’t really working,631,536,Tech Support
750,Pop ups on Tapas?,4,934,Tech Support
751,Ads haven’t been working for days,205,3.4k,Tech Support
752,WEBTOON app tapping issue,3,617,Tech Support
753,Free coins through ads not working,214,2.7k,Tech Support
754,Library Issues ( comics are disappearing from my Library ),0,413,Tech Support
755,A suggestion for tapas notifications,217,1.0k,Tech Support
756,"Scrolling screen with drawing strokes “Flick Scrolling, HOW DO YOU SHUT IT OFF?!) (Cintiq 13HD)",0,607,Tech Support
757,Is there way to add tracking for webcomics lists sites?,118,266,Tech Support
758,Format change or plugin issue?,0,685,Tech Support
759,Cant post some pages here,94,412,Tech Support
760,Character Count Bug,13,374,Tech Support
761,Can’t pay via Paypal Balance / Can’t remove card,423,370,Tech Support
762,Subscriber count lagging or stalled?,2,806,Tech Support
763,Views aren’t showing correctly,179,473,Tech Support
764,Having Ad trouble,5,512,Tech Support
765,[BUG?] Different stats on statics,283,408,Tech Support
766,Coins did not delivered after watching ads,2,901,Tech Support
767,Are there any numbers on Mobile readers vs Browser (web) readers?,237,365,Tech Support
768,Weird ad pops up,3,397,Tech Support
769,How to insert links in episode description?,202,385,Tech Support
770,Stylus and Clip Studio Help (CLOSED),2,513,Tech Support
771,Technical difficulties with Paypal ads revenue transfer,155,2.9k,Tech Support
772,Can’t buy coins from Paypal,10,376,Tech Support
773,How can I desactivate ad rev?,172,584,Tech Support
774,Pages suddenly appear washed out/muted?,4,946,Tech Support
775,I cant add a custom ad banner,162,999,Tech Support
776,Customise the Feed,4,735,Tech Support
777,Likes not appearing on profile,171,331,Tech Support
778,Can’t mark as completed,0,1.9k,Tech Support
779,[BUG] Anyone else unable to publish pages right now?,209,451,Tech Support
780,Problem with the App+Novels,14,453,Tech Support
781,Comment Bug on Novel Chapters that have Images,194,368,Tech Support
782,Tapas Won’t Let me Buy Coins,3,623,Tech Support
783,Mobile phone viewing issue,130,500,Tech Support
784,Acess to premium comic bought before Tapastic changes,7,590,Tech Support
785,Where is the best Tapastic thread/category to advertise your webcomic and/or latest comic strips?,161,596,Tech Support
786,Paypal Transfer Issues,9,517,Tech Support
787,Linking Problems,293,1.9k,Tech Support
788,New Creator - No Comics Appearing in Search,2,571,Tech Support
789,Subscriber count discrepancy?,121,2.0k,Tech Support
790,Comments and replies - Help,2,1.5k,Tech Support
791,Subscriber Glitch?,154,1.3k,Tech Support
792,W-9 Email sent by Tapas Media?,6,681,Tech Support
793,Can’t log in on new phone?!,242,1.1k,Tech Support
794,Can’t Save Changes?,8,529,Tech Support
795,I can’t log into tapas on my new phone,191,577,Tech Support
796,Tapastic website graphic interface doesn’t load,7,927,Tech Support
797,Using Macromedia Flash,242,681,Tech Support
798,[BUG] Front page Popular/Trending ranks are frozen,3,572,Tech Support
799,Uh oh something went wrong,120,720,Tech Support
800,Anyone else currently unable to upload to Tapastic?,4,894,Tech Support
801,Is anyone else not getting ad revenue or is it just me?,200,3.8k,Tech Support
802,My Coins aren’t here yet,2,387,Tech Support
803,The Tapas site kills my browser like no other,418,688,Tech Support
804,Missing Notifications?,17,793,Tech Support
805,Delete account help,261,1.2k,Tech Support
806,Not getting coins for Final Fantasy XV app,22,1.0k,Tech Support
807,Website error message,1.1k,605,Tech Support
808,How to change my login?,2,435,Tech Support
809,Question about subscribers and charges,151,629,Tech Support
810,No free ads to watch,26,995,Tech Support
811,Forums redirecting me to tapas app,2.9k,388,Tech Support
812,Can’t upload chapters of my novel!,2,439,Tech Support
813,"Dear Tapas, please make the page upload avaliable up to 50 pages!",213,997,Tech Support
814,My series doesn’t show up when searched ((Newcomer)),6,746,Tech Support
815,Bookmarks not Loading in the app,197,568,Tech Support
816,Can’t buy coins through any means,2,463,Tech Support
817,Is there any automatic account deletion?,181,766,Tech Support
818,Why are there ads here now?,3,1.6k,Tech Support
819,Odd subscribe bug,171,833,Tech Support
820,“YOU’RE A WINNER!” pop up ads on Tapas?,2,1.2k,Tech Support
821,Ad Revenue Delay,166,1.0k,Tech Support
822,Whats up with tapas’ name in this email i got?,2,596,Tech Support
823,Can’t earn coins on android device,264,856,Tech Support
824,Can’t watch ads on my phone,0,1.4k,Tech Support
825,Tapas App - Need Help,129,401,Tech Support
826,Any way to make uBlock not work on Tapas?,2,308,Tech Support
827,Remote linking images?,141,248,Tech Support
828,Tags not showing in recent posts,9,406,Tech Support
829,Post New First Page,365,456,Tech Support
830,"Please ban this spammer, Tapas",4,655,Tech Support
831,Can’t change the look of the “Share Thumbnail” - A bug?,205,1.2k,Tech Support
832,Ad banner troubles- upload not working?,5,1.0k,Tech Support
833,I don’t get notifications,211,571,Tech Support
834,Images in forum displayed incorrect,10,344,Tech Support
835,Profile page comment history in the wrong order,273,371,Tech Support
836,Tags not showing up in notifications?,7,591,Tech Support
837,Is there a way to accept tips as coins?,320,422,Tech Support
838,What features are available for premium content?,2,640,Tech Support
839,Views miscounting?,167,524,Tech Support
840,Balance won’t become available,4,1.0k,Tech Support
841,Novel creation problem(solved),227,401,Tech Support
842,Is there a problem with Ad Impressions?,9,1.2k,Tech Support
843,Is it possible to have a comic series with two authors?,175,1.2k,Tech Support
844,Profile and links keep deleting and settings keep resetting,15,387,Tech Support
845,Notification about the same person following my comic?,296,806,Tech Support
846,How to add comic in the website?,4,303,Tech Support
847,Why does my comic show cut lines on mobile?,127,894,Tech Support
848,Multiple translations problem?,6,956,Tech Support
849,The mobile download feature locked me out of my novel,204,286,Tech Support
850,I cannot use Tapas. (Website in Desktop),3,797,Tech Support
851,How do I delete my forum account?,130,1.1k,Tech Support
852,Adding Old Comics,1,601,Tech Support
853,Comic not appearing in search,128,705,Tech Support
854,Tapas app not working on my android phone or tablet,18,724,Tech Support
855,Can’t Find My Comic In Search,6.4k,1.3k,Tech Support
856,Is it possible to delete your tapas forum account without deleting your main comic tapas account?,2,1.4k,Tech Support
857,IOS 11 Beta adverts on Low Battery mode,162,300,Tech Support
858,Using Tapastic on W3M,1,277,Tech Support
859,Turning off comments option?,268,323,Tech Support
860,Arami game complicated problem,4,519,Tech Support
861,Getting ad impressions but no revenue,150,799,Tech Support
862,The bothering -> :: when you share,3,500,Tech Support
863,I net more get coin videos,192,709,Tech Support
864,"BUG - Subscriber Added, but the system is subtracting them instead adding them",16,1.1k,Tech Support
865,Bought episodes are shown as locked on the website,682,353,Tech Support
866,Profile Settings gone after each log out,2,861,Tech Support
867,I keep getting notifications from someone I’m not subscribed to?,214,380,Tech Support
868,Forum auto unpins topics when I check updates? [Fixed],143,443,Tech Support
869,Possible to Change Order of Episodes?,1.8k,1.2k,Tech Support
870,Incorrect Number of Series Displayed (3 Max?),5,518,Tech Support
871,Can’t Seem to Post My Latest Comic,202,488,Tech Support
872,Why does this happen when I try to log into the forums on my phone?,5,447,Tech Support
873,Email and Link problems,213,1.0k,Tech Support
874,Possible to make your comic’s main page show the latest comic?,0,791,Tech Support
875,Tapas takes 50% of your revenue? Huh?,155,774,Tech Support
876,Tapas app force shutting down?,4,475,Tech Support
877,Revenue Payout Problems,299,3.0k,Tech Support
878,Did anyone else’s queued episode not go public?,4,1.0k,Tech Support
879,Bug: Can’t Upload any Episodes “Can’t Recognize Filetype”,275,2.9k,Tech Support
880,How do you upload text episodes/novels?,5,2.3k,Tech Support
881,No Twitter link in profile?,204,420,Tech Support
882,Is there a way to deactivate your account?,71,907,Tech Support
883,Bug Report: Custom Ad Banner [ Fixed],511,756,Tech Support
884,Coin from ads error,90,379,Tech Support
885,Help! I can’t activate my account,691,2.1k,Tech Support
886,Previously unlocked episode becomes locked after app update [Android],3,370,Tech Support
887,Login glitch that sends me to a NSFW comic?,201,1.2k,Tech Support
888,Weird Italic formatting in my chapter?,9,358,Tech Support
889,Latest Page Will Not Upload - FIGURED OUT AND FIXED!,491,387,Tech Support
890,Separate tips for separate comics,4,328,Tech Support
891,OOPS! What do I do?,1.5k,667,Tech Support
892,Unable to upload thumbnail,2,685,Tech Support
893,Can’t upload comic/images,226,1.4k,Tech Support
894,Color loss when uploading new pages,7,535,Tech Support
895,How can I build subscribes?,198,489,Tech Support
896,How to get people to see my art work all over?,6,525,Tech Support
897,Clicking on links in tapas app not working,158,474,Tech Support
898,Want to change your Forum Username? Let us know here!,2,7.0k,Tech Support
899,Issue uploading forum avatar?,314,6.1k,Tech Support
900,Block Feature Please,5,505,Tech Support
901,Question about the tapas app + tipping,207,462,Tech Support
902,Share thumbnail won’t change,8,752,Tech Support
903,Clip Studio Paint Pro Custom Brush Problem!,366,1.9k,Tech Support
904,Please delete my account on the internet,2,622,Tech Support
905,Log in takes me to a NSFW comic,181,894,Tech Support
906,Glitch with my ad revenue,8,668,Tech Support
907,Comic not appearing on fresh & updated,248,664,Tech Support
908,The emulator is unable to access Tapas,5,533,Tech Support
909,Account needs to be completely deleted,283,817,Tech Support
910,Uh what the hell is this? (Tapas revenue bug),3,545,Tech Support
911,Glitches in Tap,242,609,Tech Support
912,Is it now possible for the serie to display its two creators?,11,408,Tech Support
913,My comic is posted but I don’t think it’s registering?,277,349,Tech Support
914,Password not being accepted,8,511,Tech Support
915,New series thumbnail not showing up. HELP!,238,883,Tech Support
916,Can’t delete my own series,7,1.1k,Tech Support
917,Flipping order of novel episodes,261,550,Tech Support
918,Distinguishing Comics and Novels on the front page,7,727,Tech Support
919,“Save” button doesn’t work after edit episode description,344,554,Tech Support
920,Having Trouble Updating a Page,0,443,Tech Support
921,Incorrect Log-in Records Problem,527,522,Tech Support
922,Twitter link going to someone else’s comic,2,390,Tech Support
923,I still can’t upload drawings from my device on the forums,315,442,Tech Support
924,"Why my comic is not appearing in the fresh section? I think us a bug, help me T-T",12,710,Tech Support
925,My comic is not showing up in Fresh,380,1.7k,Tech Support
926,Blocking and Harassment,7,916,Tech Support
927,How much is it the fees from revenues?,268,854,Tech Support
928,Old links to tapastic not redirecting anymore,11,765,Tech Support
929,"Profile Comments spamming with bots, SUPPORT PLEASE FIX!",481,1.8k,Tech Support
930,Ad revenue not counted,2,936,Tech Support
931,Hello how can I turn off the ad revenue for a specific comic?,230,499,Tech Support
932,How long does it take to get confirmation email?,12,794,Tech Support
933,Can you add tapastic app for windows phone,471,509,Tech Support
934,Front Page Glitch?,2,725,Tech Support
935,Tapastic on Kindle,215,1.1k,Tech Support
936,Can’t add a custom ad banner?,2,1.8k,Tech Support
937,Ads with Sounds?,275,621,Tech Support
938,Tapastic -> tapas.io redirect breaks Facebook auth,5,917,Tech Support
939,I think and bilieve Tapastic should do somthing,386,942,Tech Support
940,Tapas App White Screened Indefinitely,5,787,Tech Support
941,Music on comics wont play,229,770,Tech Support
942,"Ad impressions, but no ad revenue?",2,998,Tech Support
943,Can’t load messages on desktop tapastic,169,418,Tech Support
944,"Locked episodes, no Iphone and no macbook",2,692,Tech Support
945,Scrolling through episodes jumps back to previous episode,273,1.6k,Tech Support
946,Missing tools in Clip Studio?,3,12.9k,Tech Support
947,Is the fresh section working?,304,508,Tech Support
948,Haven’t received emails for months,13,341,Tech Support
949,Unable to change my Comic Series URL,312,472,Tech Support
950,Login with my fb account,10,2.0k,Tech Support
951,I can’t add tags to individual pages?,759,513,Tech Support
952,Issue with new episode NOT showing up to subscribers!,6,949,Tech Support
953,Scheduled comic says it “will be released” seconds ago,416,537,Tech Support
954,Question about the pic uploading problem,2,1.1k,Tech Support
955,Are you users of the Huion GT220?,278,1.6k,Tech Support
956,How can I change my profile URL?,146,1.1k,Tech Support
957,“OOPS! Something wrong” message whenever I try to upload an image,1.4k,786,Tech Support
958,I cannot private message my freind,7,766,Tech Support
959,Anyone else having problems uploading ‘thank you’ images into people’s profiles?,282,2.3k,Tech Support
960,Can’t comment on a determinated user’s profile,3,568,Tech Support
961,Need help logging in (fromsonsofson comic creator),336,373,Tech Support
962,The tapastic website is completely down for me?,14,1.1k,Tech Support
963,Tapas app full screen popups?,459,529,Tech Support
964,"I lost 3,000 subscribers out of the blue",6,1.9k,Tech Support
965,Does the TAGs exists? Didn’t see anybody with the same problem,596,630,Tech Support
966,Is It Possible to See Your Subscribers?,4,1.1k,Tech Support
967,Is Tapas Crashing for anyone else?,482,530,Tech Support
968,Animated GIFs not allowed for pages?,5,2.1k,Tech Support
969,Cannot Upload Pages,255,706,Tech Support
970,Is it just me or is the site super slow today?,13,590,Tech Support
971,Adverts playing sound,281,541,Tech Support
972,[Android] Blank unclosable full-screen ads,1,1.4k,Tech Support
973,"More than one genre in one webcomic, pretty please?",182,2.1k,Tech Support
974,Trouble with the e-mail for confirming my address!,5,458,Tech Support
975,Comic keeps jumping to previous pages when reading,325,974,Tech Support
976,Trouble connecting Tapastic account to Tapastic Forum account,1,761,Tech Support
977,Disabling Ad Revenue?,194,850,Tech Support
978,Profile pic issue,3,952,Tech Support
979,Ad Impressions but No Revenue,183,4.4k,Tech Support
980,"Tapastic/Tapas App CHANGES, KNOWN ISSUES, and FEEDBACK",1,9.0k,Tech Support
981,No Notifications?,173,788,Tech Support
982,How do I block/mute someone on Tapastic?,1,1.5k,Tech Support
983,Broken AD REV/Broken uploading pictures,163,630,Tech Support
984,How Allow multiple authors on a single series?,2,649,Tech Support
985,Unable to Update Comic Page?,727,350,Tech Support
986,Tapastic coins not showing up?,0,555,Tech Support
987,Can I archive or make my series invisible?,187,775,Tech Support
988,"I tried uploading an episode, tells me the file is “too wide”",8,532,Tech Support
989,Can’t change any user images on the forums,453,938,Tech Support
990,Best method for integrating Animation or gifs into comic page,2,2.1k,Tech Support
991,How does one download the Tapastic App on an Android Tablet?,252,567,Tech Support
992,Easier Way to move comics,2,499,Tech Support
993,Issues Previewing and Listening to Music,218,431,Tech Support
994,Can staff please consider implementing a blocking feature?,20,875,Tech Support
995,Lost a comic in my bookmark,621,1.5k,Tech Support
996,No Subscriber Notifications?,3,1.8k,Tech Support
997,TapasApp: Coins not showing up?,203,871,Tech Support
998,App crashes Android version 4.2.2,4,570,Tech Support
999,Tapastic Key receiving problem,227,395,Tech Support
1000,How to Turn on the Ad Revenue Program,2,792,Tech Support
1001,Tapastic App keeps crashing,184,2.4k,Tech Support
1002,Anyone Ad/view revenue stop updating at 28 dec 2016?,3,613,Tech Support
1003,"Help! Updated my comic, but the update is not visible and no subscribers have gotten notifications?",255,2.2k,Tech Support
1004,The views in my comic aren’t changing,41,1.9k,Tech Support
1005,Upload button isn’t working,843,1.6k,Tech Support
1006,The “Trending” Page,26,707,Tech Support
1007,"My add impression from yesterday is zero, yet I had views",2.6k,457,Tech Support
1008,Shift One Inc. Japan,7,1.3k,Tech Support
1009,Please fix the pics!,344,884,Tech Support
1010,Activity feed in app,2,487,Tech Support
1011,TapasApp coins purchase problem,298,469,Tech Support
1012,Searching new subscribers,7,506,Tech Support
