,titles,replies,views,category
397,Please Read & Review My Comic,212,214,Reviews|Feedbacks
398,Revised and improved comic book,7,233,Reviews|Feedbacks
399,Back from hiatus to review more webcomics,218,991,Reviews|Feedbacks
400,Another Comic Review/Praise Thread | Story-Based Comedy,10,486,Reviews|Feedbacks
401,Please Review my Novel,143,342,Reviews|Feedbacks
402,Could someone review my work?,6,568,Reviews|Feedbacks
403,"Can you review my first chapter, please",148,285,Reviews|Feedbacks
404,Requesting a review of The Power of Stardust issue 1,29,250,Reviews|Feedbacks
405,Review my Webtoon,171,862,Reviews|Feedbacks
406,Review on the translation,2,232,Reviews|Feedbacks
407,"Promo your comic, get a free song maybe! (Reviews)",135,1.4k,Reviews|Feedbacks
408,“Selling” Free Comic Reviews! (Closed),113,1.1k,Reviews|Feedbacks
409,Review Request For My Main Novel,995,315,Reviews|Feedbacks
410,Getting Reviews?,25,946,Reviews|Feedbacks
411,A Comic Review Catalog,275,1.2k,Reviews|Feedbacks
412,Would like some feedback on a comic,17,427,Reviews|Feedbacks
413,Boba Wants to Read and Review Some Comics!,266,2.3k,Reviews|Feedbacks
414,People dont read past page 1 (Reviews and critism please),2,581,Reviews|Feedbacks
415,I can Review your Comic,89,2.3k,Reviews|Feedbacks
416,"Meaty Reviews Season 3 (Post your Comic, Get a Meaty Review) (Submissions Closed)",4,4.3k,Reviews|Feedbacks
417,New BL comic about war and duality of idologies,202,365,Reviews|Feedbacks
418,Requesting Criticism,2,637,Reviews|Feedbacks
419,New Creator Requesting Reviews for Short BL Novel,102,303,Reviews|Feedbacks
420,Got time? Review on my comic,1,408,Reviews|Feedbacks
421,Looking for a Review and critical feedback - The Blank Scroll,101,433,Reviews|Feedbacks
422,"Requesting reviews and critique for my comic, please",11,470,Reviews|Feedbacks
423,"Just started my new comic, “Bestia” I would love some feedback plz!",173,483,Reviews|Feedbacks
424,Looking for Proofreading help (trading for art?),9,338,Reviews|Feedbacks
425,Review/Critique Request (Novel),127,544,Reviews|Feedbacks
426,I’m making a pulp superhero novel and would greatly appreciate any feedback,9,230,Reviews|Feedbacks
427,"Just finished wlw comic, “sleepy giantess, good morning!” would love your feedback",163,557,Reviews|Feedbacks
428,Which perspective drawing is correct? Need help,41,971,Reviews|Feedbacks
429,"Just started my comic “Help I got reborn as a baby bird! Don’t eat me!”, would love feedback pls",338,498,Reviews|Feedbacks
430,Jumping on the comic review bandwagon!,6,1.8k,Reviews|Feedbacks
431,Reviews for your comic!,93,1.7k,Reviews|Feedbacks
432,Hey I’ll do some comic reviews too!,13,1.0k,Reviews|Feedbacks
433,"Link me your comic for review! [Now a thread, read the third edit]",159,3.2k,Reviews|Feedbacks
434,Critiquers needed for my shonen inspired Spy/Intrigue comic,33,343,Reviews|Feedbacks
435,My new web comic,305,279,Reviews|Feedbacks
436,New color scheme: Love it or burn it?,0,598,Reviews|Feedbacks
437,[100 subs or less only] Free critique of 1st chapter/1k words,78,1.6k,Reviews|Feedbacks
438,Free first chapter review for novel under 50 sub,18,1.2k,Reviews|Feedbacks
439,"Novel Review, Critique, and Sub Exchange!",181,420,Reviews|Feedbacks
440,Is the humor too crude? Feedback for my new webccomic,0,475,Reviews|Feedbacks
441,Silent Comics - Show me,86,790,Reviews|Feedbacks
442,"Just finished the third chapter of my comic, reviews or feedback wanted!",3,507,Reviews|Feedbacks
443,Share your comic here if you are 20 and Under!,113,2.6k,Reviews|Feedbacks
444,You’re hired! Latest Chapter: Feel free to check us out dudes:),0,367,Reviews|Feedbacks
445,"COMPLETED my comic Earthset, any feedback/crit appreciated!",101,338,Reviews|Feedbacks
446,Critique request for my first chapter,6,371,Reviews|Feedbacks
447,Would love some feedback on my latest episode,116,514,Reviews|Feedbacks
448,Review my comic from webtoon,13,443,Reviews|Feedbacks
449,If you review my writing i’ll draw your OC for you!,390,685,Reviews|Feedbacks
450,Content Game: Kill or Marry,0,418,Reviews|Feedbacks
451,Would love to hear ALL the constructive criticism on my fantasy webcomic!,73,930,Reviews|Feedbacks
452,Reader Survey for Feedback,2,393,Reviews|Feedbacks
453,Post one compliment + one criticism,623,1.8k,Reviews|Feedbacks
454,Get your covers rated by fellow writers,8,538,Reviews|Feedbacks
455,First Impressions of my Comic?,128,509,Reviews|Feedbacks
456,Polishing up?Review my story,3,376,Reviews|Feedbacks
457,Am I being an asshole by making episodes like this one,113,815,Reviews|Feedbacks
458,"Meaty Reviews Season 2 (Post Your Comic, Get a Meaty Review) (Finished)",3,3.6k,Reviews|Feedbacks
459,Review or feedback or anything really,111,364,Reviews|Feedbacks
460,My birthday review party [Closed],25,1.6k,Reviews|Feedbacks
461,Concept Feedback for your Writing,219,758,Reviews|Feedbacks
462,Would like to be critiqued on my lettering,0,422,Reviews|Feedbacks
463,The Beast and Whore in the Book of Revelation,92,525,Reviews|Feedbacks
464,"My WIP, Tell me what you think",6,294,Reviews|Feedbacks
465,Need criticism/review or something like that,256,642,Reviews|Feedbacks
466,Review my video project?,8,232,Reviews|Feedbacks
467,Offering critique! (illustrations preferably bc time is rare uwu),181,664,Reviews|Feedbacks
468,"This was manga and I converted into a webtoon, I need to know what’s wrong?",3,1.1k,Reviews|Feedbacks
469,Can you tell me if continuing this comic is a good idea?,66,680,Reviews|Feedbacks
470,Yuri / GL Constructive Feedback/Critique/Review,5,391,Reviews|Feedbacks
471,Bring the Havoc! Requesting reviews/critiques for anthology webcomic,102,838,Reviews|Feedbacks
472,Requesting Critique!,14,1.7k,Reviews|Feedbacks
473,Review both versions of my comic?,263,767,Reviews|Feedbacks
474,Recreated a comic from 4 years ago: Feedback?,7,478,Reviews|Feedbacks
475,Novel review appreciated: «ALT» :D,115,982,Reviews|Feedbacks
476,Requesting a review of a calmer story involving children,0,385,Reviews|Feedbacks
477,Getting subscribers? Review Request? Tapas and Webtoons,116,1.1k,Reviews|Feedbacks
478,How do you feel about the webtoon contest as a newcomer? (Feel free to post your Webcomic here!),10,2.3k,Reviews|Feedbacks
479,Requesting Review(s) (The Unbreakable Freak of Nature),238,631,Reviews|Feedbacks
480,Feedback exchange for comics creators,8,571,Reviews|Feedbacks
481,There’s Royalty ‘Round Here,147,307,Reviews|Feedbacks
482,Xoai manga out now!,4,380,Reviews|Feedbacks
483,First time making a comic with my wife,90,590,Reviews|Feedbacks
484,Critique Exchange,2,1.0k,Reviews|Feedbacks
485,Just DO IT! 1 or 2 word comic reviews,85,1.3k,Reviews|Feedbacks
486,Critique / feedback for my comedy comic,20,308,Reviews|Feedbacks
487,My first ever comic,186,298,Reviews|Feedbacks
488,Feedback For You,4,2.6k,Reviews|Feedbacks
489,Review …Knights chronicles,143,521,Reviews|Feedbacks
490,Requesting a review of The Power of Stardust,3,481,Reviews|Feedbacks
491,Video promo for my teams comic: I’ll check your comic/manga for sub,100,628,Reviews|Feedbacks
492,Exchange review with me (high chance of following you),2,1.2k,Reviews|Feedbacks
493,Requesting opinions and advice,87,506,Reviews|Feedbacks
494,Want a review ? just give promotion,4,732,Reviews|Feedbacks
495,Critique my series for a bust art of your OC (LIMITED SLOTS),107,735,Reviews|Feedbacks
496,Feedback please:) tapas.io,2,590,Reviews|Feedbacks
497,Critique time - UNDERCOPPER,99,625,Reviews|Feedbacks
498,What makes a good comic? Review and recommendations,1,782,Reviews|Feedbacks
499,Biting The Bullet,94,589,Reviews|Feedbacks
500,Feedback Please,1,507,Reviews|Feedbacks
501,Novel review thread,77,809,Reviews|Feedbacks
502,Review my novel,31,321,Reviews|Feedbacks
503,Ms Marvel: no normal,531,1.7k,Reviews|Feedbacks
504,Back at it again in hopes of sweeet reviews,0,345,Reviews|Feedbacks
505,Looking for reviews on my first Novel series,118,623,Reviews|Feedbacks
506,Critique after hiatus,6,496,Reviews|Feedbacks
507,Looking for review of my comic’s first chapter,207,686,Reviews|Feedbacks
508,Looking for criticism,3,740,Reviews|Feedbacks
509,Looking for feed back for a novel,167,512,Reviews|Feedbacks
510,Review for Review! Come here ^^,3,493,Reviews|Feedbacks
511,Feedback for feedback!,148,738,Reviews|Feedbacks
512,A place where an artist can ask an opinion of their drawing,2,729,Reviews|Feedbacks
513,Looking for reviews! looking to improve,161,596,Reviews|Feedbacks
514,Am I ripping off someone else’s style?,2,838,Reviews|Feedbacks
515,"Feedback for Feedback, calling all authors!",151,649,Reviews|Feedbacks
516,"You review my comic, I review yours",30,761,Reviews|Feedbacks
517,"Review Request for my comic, I’ll review yours in return",320,559,Reviews|Feedbacks
518,Short Mini series looking for reviews,15,548,Reviews|Feedbacks
519,Jungle Madness - Reviews,140,354,Reviews|Feedbacks
520,Looking for reviews on my comic,11,341,Reviews|Feedbacks
521,Be honest an tell me,204,868,Reviews|Feedbacks
522,Help On How I Can Improve,2,840,Reviews|Feedbacks
523,How’s this going so far?,111,478,Reviews|Feedbacks
524,Novel Review Trade,9,751,Reviews|Feedbacks
525,Review Exchange!,204,596,Reviews|Feedbacks
526,My latest chapter. Will really need it to be reviewed,2,445,Reviews|Feedbacks
527,"Review mine, I review yours?",99,1.7k,Reviews|Feedbacks
528,Requesting for a Review,5,247,Reviews|Feedbacks
529,"Review mine, and I’ll review yours!",120,1.6k,Reviews|Feedbacks
530,"Review me, and ill review you",4,759,Reviews|Feedbacks
531,Ask my characters about your comic,139,2.7k,Reviews|Feedbacks
532,Review Thread (comics+novels),2,1.1k,Reviews|Feedbacks
533,Bakakukukuns mega collection of reviews (review thread?),144,361,Reviews|Feedbacks
534,Needs Review (Beware! UT!),10,402,Reviews|Feedbacks
535,Need some feedback please,136,604,Reviews|Feedbacks
536,Which size XP-Pen Artist drawing tablet should I buy?,4,441,Reviews|Feedbacks
537,I’m stuck in a science class at film school and want to review some comics,115,1.7k,Reviews|Feedbacks
538,What do you think of that inking style?,0,876,Reviews|Feedbacks
539,Desperate need of review(Fate),81,797,Reviews|Feedbacks
540,Review request!,3,1.2k,Reviews|Feedbacks
541,Hoping for anyone to give feedbacks on my comic,124,683,Reviews|Feedbacks
542,"Baka-Kun’s list O’ recommendations, but its bigger and better (Ongoing)",2,3.8k,Reviews|Feedbacks
543,"Here we go, more covers!",125,665,Reviews|Feedbacks
544,Summary/Outline review *spoilers for Candy Pop Corpse,23,1.3k,Reviews|Feedbacks
545,Writer wanting feedback on their novel,291,457,Reviews|Feedbacks
546,Tumblr promo posts for LGBTQ webcomics,119,5.8k,Reviews|Feedbacks
547,Please review my horror comic,1.4k,768,Reviews|Feedbacks
548,I would like you to review my comics! Please!,4,815,Reviews|Feedbacks
549,I want your thoughts and suggestions,199,616,Reviews|Feedbacks
550,"Calling all the bloggers, vloggers and reviewers for a comic and novel review exchange",3,401,Reviews|Feedbacks
551,Looking for Feedback on my comic!,153,695,Reviews|Feedbacks
552,Comment Above Your / Latest Post - Feb 2018,3,1.1k,Reviews|Feedbacks
553,Reviewing your most recent/favorite cover!,110,1.4k,Reviews|Feedbacks
554,"Hey bruh, lets share your protagonist (from your comic)",1,3.3k,Reviews|Feedbacks
555,Comics Editor Will Review Your Webcomic for the Price of a Sub and/or Like!,300,2.5k,Reviews|Feedbacks
556,A New Type of Review Thread,3,1.2k,Reviews|Feedbacks
557,Reviewing comics! (offer closed),190,2.2k,Reviews|Feedbacks
558,WintreKitty Reviews Revised 2018,22,472,Reviews|Feedbacks
559,Can you please give me feedback on my novella?,258,1.3k,Reviews|Feedbacks
560,A new buttiful BL comic waiting for you,2,565,Reviews|Feedbacks
561,Feedback on an idea I have?,112,835,Reviews|Feedbacks
562,Looking for feedback on newest page,0,1.0k,Reviews|Feedbacks
563,Novel about an Alien x Human romance!,94,420,Reviews|Feedbacks
564,Requesting Comic Critique!,5,1.4k,Reviews|Feedbacks
565,Care to take a gander at these comic pages? PT. 2 (inks/color),150,714,Reviews|Feedbacks
566,Care to take a gander at these comic pages? (sketches),0,1.0k,Reviews|Feedbacks
567,One Year In … How am I doing?,124,559,Reviews|Feedbacks
568,"Sick in bed today, so who wants to review my comic",2,539,Reviews|Feedbacks
569,Need feedback/ give you feedback!,139,1.0k,Reviews|Feedbacks
570,BTS Novels / Comics For ARMY,112,875,Reviews|Feedbacks
571,Need Feed Back On My Work,4.2k,547,Reviews|Feedbacks
572,Doing Free Comic Critiques~! (CLOSED - temporarily),19,3.1k,Reviews|Feedbacks
573,New Member looking to review/critique your work,836,3.4k,Reviews|Feedbacks
574,Want your comic reviewed in StArt Faire?,10,6.0k,Reviews|Feedbacks
575,Got a completed series? Or know about some completed series’? Share them here!,279,1.5k,Reviews|Feedbacks
576,Share your favorite undiscovered comics,26,1.9k,Reviews|Feedbacks
577,Critique Swap-Read my comic and I’ll read yours!,361,1.4k,Reviews|Feedbacks
578,"Can You Review My New Comic, Dramatic Captioning?",7,416,Reviews|Feedbacks
579,Could you review my comic [The Judge]?,140,733,Reviews|Feedbacks
580,My webcomic review blog is open to requests again! (Queue now very large at 60+ but I’ll throw you on the end),10,4.3k,Reviews|Feedbacks
581,[The Angel Wolf - LEGENDS] - part 1,243,360,Reviews|Feedbacks
582,Review my comic please i need advise,8,557,Reviews|Feedbacks
583,(Semi) Super review please~,165,433,Reviews|Feedbacks
584,Honest thoughts?,9,1.0k,Reviews|Feedbacks
585,Could you please review my comic?,299,934,Reviews|Feedbacks
586,"Okay I have a few, few enough to review",39,452,Reviews|Feedbacks
587,PARA-SAYO Feedback,862,304,Reviews|Feedbacks
588,Sekhmet’s drunk/sober reviews! [Submissions are CLOSED for this year!],56,4.0k,Reviews|Feedbacks
589,My Characters will talk about YOUR comic! [AKA will review your comic],944,3.2k,Reviews|Feedbacks
590,“The Human Mind”: Newly released prologue!,1,320,Reviews|Feedbacks
591,New review on our youtube channel : Jamie by NDGO!,123,1.5k,Reviews|Feedbacks
592,Could I have critique for my 1st chapter?,6,566,Reviews|Feedbacks
593,"Could I kindly ask for a review, I am a newbie to webcomics",156,1.2k,Reviews|Feedbacks
594,I just finished my first chapter! Feedback would be awesome,0,1.1k,Reviews|Feedbacks
595,Your voice is greatly desired,88,993,Reviews|Feedbacks
596,Advice on my Comic?,7,957,Reviews|Feedbacks
597,Anyone up for a review of my comic?,153,382,Reviews|Feedbacks
598,Review “The Assassination of Franz Ferdinand”,73,510,Reviews|Feedbacks
599,Can I get some thoughts on this episode i released pls,1.5k,602,Reviews|Feedbacks
600,Can you please give me feedback on my prologue?,3,696,Reviews|Feedbacks
601,Looking for opinions on my comic,164,418,Reviews|Feedbacks
602,Hello just a newbie and question ; w ;)/,7,601,Reviews|Feedbacks
603,Hello! I’m new and just want a little feedback! Feel Free to use this to get Feedback too,192,716,Reviews|Feedbacks
604,Looking for comic reviews for Fate,3,468,Reviews|Feedbacks
605,Get Your Webcomic Reviewed! - Thread #3,148,1.1k,Reviews|Feedbacks
606,A review will be appreciated,1,380,Reviews|Feedbacks
607,"Hello! I’m not exactly new, but I’d like to request a review on the latest chapter of my comic",134,454,Reviews|Feedbacks
608,WintreKitty Reviews,2,6.2k,Reviews|Feedbacks
609,"I’m new - could you review my comic, please?",127,1.5k,Reviews|Feedbacks
610,"If you have time, could you take a look at my comic?",12,576,Reviews|Feedbacks
611,Review for a review,418,2.1k,Reviews|Feedbacks
612,Doing Positive Comic Reviews! [Closed for now],5,2.1k,Reviews|Feedbacks
613,The Strip Show Opens Its Doors To All Those In Search Of Review!,170,2.8k,Reviews|Feedbacks
614,"If you where to review webcomics, what criteria would you use to judge good or bad webcomics?",42,1.3k,Reviews|Feedbacks
615,Anyone care to share their feedback on my comics?,698,351,Reviews|Feedbacks
616,I am main review,72,915,Reviews|Feedbacks
617,Very honest opinions reviews,1.8k,3.0k,Reviews|Feedbacks
618,"I just finished the first chapter of my comic, hoping for some honest opinions",148,833,Reviews|Feedbacks
619,Honest opinion of my comic strip,6.0k,1.3k,Reviews|Feedbacks
620,I need some feedback on my comic,55,2.0k,Reviews|Feedbacks
621,Strip Show Revue Looking for New Acts!,1.0k,1.3k,Reviews|Feedbacks
622,I’d love feedback for my comic!,163,700,Reviews|Feedbacks
623,Please tell me what you think about my comic ;w;,1.7k,1.1k,Reviews|Feedbacks
624,Feedback for my comic?,124,860,Reviews|Feedbacks
625,Would you like your Tapastic comic reviewed (new one each Thurs)?! :3,3.8k,3.4k,Reviews|Feedbacks
626,New and with a first comic already done aka Pulp World,0,592,Reviews|Feedbacks
627,Requesting Opinion/Critique!,108,1.1k,Reviews|Feedbacks
628,"Trying out new style, new insecurities",5,497,Reviews|Feedbacks
629,Active Reviewers List,154,1.5k,Reviews|Feedbacks
630,Updated reviews?,25,404,Reviews|Feedbacks
631,(inactive forum),461,596,Reviews|Feedbacks
632,Diskordia Review,58,391,Reviews|Feedbacks
633,I’d appreciate some feedback for my sci-fi/fantasy webcomic!,723,639,Reviews|Feedbacks
634,"Review my comic? Cyberpunk fantasy, two chapters up!",23,890,Reviews|Feedbacks
635,Review the Comic above You!,528,4.8k,Reviews|Feedbacks
636,What?! We Are Starting a Blog about Webcomic Reviews!,1,2.5k,Reviews|Feedbacks
637,GUNFREE comic review,265,551,Reviews|Feedbacks
638,Started a New Comic. Looking for reviewers,16,1.0k,Reviews|Feedbacks
639,Free comic to review here!,287,1.1k,Reviews|Feedbacks
640,New Comic Arkian. Review!,7,707,Reviews|Feedbacks
641,Comic Page Editing Circle,196,481,Reviews|Feedbacks
642,My new comic needs your help! Please review :D,35,1.0k,Reviews|Feedbacks
643,Looking for a review,742,848,Reviews|Feedbacks
644,"New to this, Please review",97,843,Reviews|Feedbacks
645,Please review my NEW comic,637,774,Reviews|Feedbacks
646,Tap-Vision Comic Reviews! By MJ Massey!,3,2.6k,Reviews|Feedbacks
647,"Super New, Please Review",219,793,Reviews|Feedbacks
648,I need an experienced letterer’s review,0,908,Reviews|Feedbacks
649,Requesting Format Review of my double-sided comic,105,823,Reviews|Feedbacks
650,First Time Comic Reviewer [Closed],10,2.3k,Reviews|Feedbacks
651,"Coffee, Blood, Rust-ex/Please Review!",143,520,Reviews|Feedbacks
652,Would love some feedback on my comic! Please Review,7,572,Reviews|Feedbacks
653,Can someone critique this comics art style,129,1.6k,Reviews|Feedbacks
654,Looking for reviews for my new comic,4,1.0k,Reviews|Feedbacks
655,"Just finished chapter two, and would like some feedback",130,961,Reviews|Feedbacks
656,Lunch Tiiime: A humble request for a review,9,923,Reviews|Feedbacks
657,Fresh Comic Up for Review,156,1.2k,Reviews|Feedbacks
658,"Review, please?",3,743,Reviews|Feedbacks
659,(come at me bro) Would anyone be willing to review or critique my short series,135,878,Reviews|Feedbacks
660,I’m scared as hell. Please review my comic,5,743,Reviews|Feedbacks
661,Terrified for it but please review my series,172,1.1k,Reviews|Feedbacks
662,Comment Raid (not reviews),11,867,Reviews|Feedbacks
663,Review exchange,230,603,Reviews|Feedbacks
664,Comic Review Exchange,28,1.3k,Reviews|Feedbacks
665,The Strip Show Review Digest,457,1.3k,Reviews|Feedbacks
666,"I’ve started showing other continents in my comic world, pls can you tell me how you view it",4,697,Reviews|Feedbacks
667,New blog for webcomic reviews,359,2.6k,Reviews|Feedbacks
668,New member to Tapastic with a new comic!,15,841,Reviews|Feedbacks
669,Your opinion on two style changes,247,800,Reviews|Feedbacks
670,Get Your Webcomic Reviewed 2 - Electric Boogaloo!,15,2.1k,Reviews|Feedbacks
671,Review Chain! Let’s Review Each Other’s Comics!,307,2.1k,Reviews|Feedbacks
672,I’ll review story based webcomics,40,3.4k,Reviews|Feedbacks
673,Wednesday Ash Webcomic Reviews [status: OPEN / New CLOVERLINES!],869,4.4k,Reviews|Feedbacks
674,Your quick opinion on a change in style,237,1.8k,Reviews|Feedbacks
675,"Reviewing Comics, Genre Notwithstanding",7.2k,3.4k,Reviews|Feedbacks
676,Comics for a Review Segment in new Youtube Series,0,2.0k,Reviews|Feedbacks
677,Feedback on my website - Pro’s and Con’s,159,918,Reviews|Feedbacks
678,Can you please review my fantasy comics?,1,1.1k,Reviews|Feedbacks
679,The Review Game (review for review),105,1.9k,Reviews|Feedbacks
680,Review Interchange,18,1.2k,Reviews|Feedbacks
681,Ok…..i think im ready. To ask you guys for a critique,528,1.8k,Reviews|Feedbacks
682,Anyone Willing to Critique a Summary of my Comic Story? I’ll Happily Return the Favor!,2,1.1k,Reviews|Feedbacks
683,Font help needed,151,655,Reviews|Feedbacks
684,Marked - Action/Demons/Angels,36,934,Reviews|Feedbacks
685,Try to Scare Me,2.4k,3.0k,Reviews|Feedbacks
686,I need a small critque,51,625,Reviews|Feedbacks
687,Devious Folder - Review Please!,801,524,Reviews|Feedbacks
688,Pick a theme song for the above comic,4,2.3k,Reviews|Feedbacks
689,"Please Review my comic ‘Let Love Rule’ (Manga, Fantasy, Romance).",209,1.6k,Reviews|Feedbacks
690,Review my comic =w=,35,933,Reviews|Feedbacks
691,Get Your Webcomic Reviewed!,449,4.7k,Reviews|Feedbacks
692,"HEY~ I just updated my comic. Critique my work, plz?",1,697,Reviews|Feedbacks
693,Hannahcomb’s Comic Art Workshop! (Submissions Open),160,4.5k,Reviews|Feedbacks
694,At what point during the creation of a comic should I ask if someone could review my comic and give the cold hard truth?,156,1.0k,Reviews|Feedbacks
695,New Slomosteveo webcomic video revew!,5.8k,672,Reviews|Feedbacks
696,Ms. Marvel is awesome! #kamalaKhan,5,1.9k,Reviews|Feedbacks
697,Describe/Rate previews creator/author,178,681,Reviews|Feedbacks
698,"God, I’m a hypocrite! Also, a review of the Huion H610 graphic tablet",5,2.4k,Reviews|Feedbacks
699,Video Reviews of Comic!,280,2.1k,Reviews|Feedbacks
700,Review my comic and get Promotion for yours!,6,2.4k,Reviews|Feedbacks
701,Review my webcomic and get free headshot sketch~,312,705,Reviews|Feedbacks
702,Can anyone provide feedback on my comic?,0,582,Reviews|Feedbacks
703,Any Fantasy Comics Need Reviewing?,120,2.7k,Reviews|Feedbacks
704,Comments and Criticism,6,1.3k,Reviews|Feedbacks
705,Let me review your webcomic!,232,3.0k,Reviews|Feedbacks
706,Honest Critique Wanted,0,893,Reviews|Feedbacks
707,Read and review my webcomic,182,836,Reviews|Feedbacks
708,Share your Favorite Episodes with ANIMATION!,2,1.2k,Reviews|Feedbacks
709,First ever webcomic “Tango”; would anyone review pls?,164,1.0k,Reviews|Feedbacks
710,Who here watched One Punch Man anime last year,3,1.5k,Reviews|Feedbacks
711,Reviews for Long-form Comics that have posted more than 30 pages,301,2.7k,Reviews|Feedbacks
712,"Please review my comic, The Chronicles of SolLuna!",3,1.2k,Reviews|Feedbacks
713,I will critique / give advice from a writer’s perspective,213,2.7k,Reviews|Feedbacks
714,Please review our work,4,1.6k,Reviews|Feedbacks
715,NiGuNeGu - Dating/Romantic-Comedy Comic - Comments and critics are welcome,386,716,Reviews|Feedbacks
716,Please check out my work! :D,49,1.0k,Reviews|Feedbacks
717,Could you please review my comics?,1.4k,927,Reviews|Feedbacks
718,Can you please review my comic?,77,814,Reviews|Feedbacks
719,A few questions about my own comic so far,1.6k,924,Reviews|Feedbacks
720,Review my comic so that I can improve! New Creator,8,754,Reviews|Feedbacks
721,I would really love a review or feedback for Discount Religion,251,698,Reviews|Feedbacks
722,I would really like a critique!,58,642,Reviews|Feedbacks
723,Keiiii’s Critique Booth [CLOSED],1.1k,4.2k,Reviews|Feedbacks
724,Fantasy/mystery comic - Writing the third chapter now - Looking for feedback on the first two,16,639,Reviews|Feedbacks
725,Looking for Reviews,392,421,Reviews|Feedbacks
726,Sprial of Nightmares chapter 1 review?,9,775,Reviews|Feedbacks
727,"My comic could use some constructive criticism, please!",337,1.3k,Reviews|Feedbacks
728,Chapter 4 is done and I’m up for a review!,8,708,Reviews|Feedbacks
729,I’d love a critique!,343,1.3k,Reviews|Feedbacks
730,I want to get CRITICISED!,1,773,Reviews|Feedbacks
731,Please please support and review our new comic: Hall of Heroes Volume 1!,161,449,Reviews|Feedbacks
732,Review my comic!,1,1.7k,Reviews|Feedbacks
733,Review my comic ^-^,164,1.0k,Reviews|Feedbacks
734,Looking for reviews of my 3 years old manga,6,890,Reviews|Feedbacks
735,Recently Redid my web comic would like a review,307,799,Reviews|Feedbacks
736,Strong World comic,5,528,Reviews|Feedbacks
737,Please review my fantasy comic about bards in Ancient Ireland,300,530,Reviews|Feedbacks
738,Review my Comic?,0,608,Reviews|Feedbacks
739,Looking for people to review my webcomic,308,1.1k,Reviews|Feedbacks
740,Could anyone please review my short web comic Eros Shot?,0,1.1k,Reviews|Feedbacks
741,Best comics to binge read,186,1.6k,Reviews|Feedbacks
742,Ok I’m ready for a review,26,726,Reviews|Feedbacks
743,Please help me improve my webcomic series! I will give you a personalized haiku poem for your time,1.4k,1.1k,Reviews|Feedbacks
744,I wanna know your opinion,0,1.6k,Reviews|Feedbacks
745,Review for my webcomic series anyone?,164,528,Reviews|Feedbacks
746,Heroes world. a comic about heroes,2,618,Reviews|Feedbacks
747,About the Reviews category,222,1.5k,Reviews|Feedbacks
748,Trade review fir review,14,709,Reviews|Feedbacks
749,Critique exchanges!,475,2.3k,Reviews|Feedbacks
750,Eagle’s Webcomic Review signup thread,0,2.8k,Reviews|Feedbacks
